Pos,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%
PG,5.3,0.5,2,0.25,0.2,1,0.2,0,0,
SF,18.9,1.8,3.5,0.504,0.4,1.1,0.352,1,1.3,0.812
SG,35.9,9,18.3,0.489,2,5.7,0.354,6.7,7.3,0.919
PF,13.2,2.3,4.8,0.472,0.6,1.9,0.322,1.5,1.9,0.784
SG,5.2,0.5,1.7,0.3,0,0.3,0,0,0,
PG,22.6,3,7.1,0.417,0.7,2.4,0.308,0.8,0.9,0.829
SG,24.2,3.5,7.8,0.444,1.3,3.5,0.364,0.4,0.5,0.833
C,11.4,2.2,3.3,0.667,0.1,0.1,1,0.5,0.8,0.652
PF,10.7,1.1,3.1,0.357,0.3,1.4,0.231,0.1,0.2,0.5
SF,5.9,0.7,2.4,0.273,0.1,1,0.111,0.4,0.6,0.8
SG,6.6,0.4,0.8,0.5,0,0.2,0,0.2,0.6,0.333
SF,28,3.4,6.6,0.51,1,2.7,0.361,1.4,1.7,0.844
SF,30.7,4.9,11.6,0.424,1.5,4.6,0.33,1.6,2,0.809
SF,7.1,0.7,1.9,0.361,0.2,0.8,0.2,0.4,0.5,0.8
SG,10.6,1.3,3.5,0.373,1.2,3,0.392,0.4,0.5,0.875
PG,30.9,6,13.8,0.438,1.4,4.3,0.326,3.1,3.4,0.892
SG,28.9,6,14.6,0.407,2,5.6,0.358,2.2,2.8,0.808
SG,28.2,3.4,7.7,0.443,0.6,1.7,0.344,1.5,2.1,0.739
SG,4,0.6,1.9,0.316,0.3,0.9,0.333,0.5,0.5,1
SF,33.9,7.5,15.6,0.481,2.3,5.9,0.382,3.1,4.3,0.724
C,3.7,0.4,1.1,0.4,0,0,,0.3,0.9,0.375
SF,14.8,1.8,4.9,0.371,0.8,2.6,0.324,0.6,0.8,0.8
SG,25.8,4,9,0.439,0.9,2.6,0.341,1.6,2,0.784
PG,17.9,3.2,6.8,0.466,0.8,2.1,0.358,1.1,1.3,0.813
C,24.9,5.3,9.1,0.581,0.8,2,0.407,1.9,2.5,0.741
SG,23.6,3.1,7.7,0.402,1.3,3.8,0.333,0.6,0.7,0.81
PG,15.8,2.8,6.3,0.45,1,2.3,0.427,0.7,0.9,0.793
PG,13.2,2.4,5.1,0.465,0.6,1.5,0.421,0.5,0.7,0.722
PG,23.9,4.4,10.3,0.427,2,4.6,0.432,1.3,1.4,0.909
SG,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.6,4,0.887
SG,29,5.1,12.5,0.406,1.8,4.7,0.375,4.2,4.7,0.897
SG,20.2,4.3,9.3,0.461,1.8,4.3,0.416,1.9,2.3,0.829
SG,9.1,1.1,3.2,0.344,0.3,1.4,0.189,0.2,0.4,0.571
SF,33.8,5.9,13.1,0.455,0.5,2.1,0.244,7.6,9.1,0.834
C,8.1,1.3,3,0.427,0.2,1.1,0.182,0.3,0.3,0.889
C,8.7,1.3,3.1,0.406,0.2,1.1,0.16,0.1,0.1,0.667
C,6.5,1.3,2.5,0.5,0.3,1,0.25,0.8,0.8,1
C,9,3,6,0.5,0,0,,0,0,
SG,25.5,3.4,7.3,0.467,1.3,3.5,0.385,1.1,1.5,0.775
SF,3.2,0.4,1.1,0.4,0.1,0.4,0.167,0.3,0.3,1
C,32.8,6.3,9.9,0.629,0,0,,1.4,2.7,0.529
SF-PF,12.1,1,2.8,0.379,0.3,1.4,0.242,1.2,1.8,0.69
SF,9,0.6,1.9,0.31,0.2,0.9,0.231,0.8,1.3,0.6
PF,17.2,1.8,4.1,0.432,0.6,2.2,0.25,1.9,2.4,0.773
PG,16.3,1.7,4.2,0.416,1.1,2.5,0.425,0.4,0.5,0.852
SF,14.6,1.8,5.1,0.352,1,3.4,0.302,0.4,0.5,0.793
C,29.2,4.3,8,0.534,0.1,0.7,0.207,2.6,3.5,0.737
SG,18.5,2.5,5.8,0.427,0.5,1.7,0.293,1.8,2.1,0.832
PG,18.4,1.9,4.5,0.412,0.6,1.9,0.333,1.1,1.5,0.734
C,20.3,3.2,5.6,0.579,0,0,0,0.7,1.2,0.606
C,22.9,3.5,6.3,0.56,0,0,,0.9,1.4,0.614
C,12.1,2.4,3.5,0.689,0,0.1,0,0.4,0.7,0.556
C,8.4,0.5,0.7,0.778,0,0,,0.2,0.5,0.462
SF,21,2.1,5.2,0.404,1.1,3.5,0.306,0.6,0.7,0.87
PG,8.3,0,1.8,0,0,1,0,0.5,0.5,1
